G2B_목록번호,G2B_목록명,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,수량,승인상태,취득정리구분,운용부서코드,비고
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2017-12-25,183000,2017-12-31,소프트웨어융합대학,취득,5,3,확정,자체구입,D001,Reprehenderit aut animi.
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2022-05-06,1474000,2022-05-10,인문대학,취득,5,4,확정,자체구입,D004,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2020-04-04,7149000,2020-05-19,총무팀,취득,6,9,확정,자체구입,D005,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2019-04-13,266000,2019-04-15,공과대학,취득,4,7,확정,자체구입,D002,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2024-02-18,10924000,2024-02-20,산학협력단,취득,5,9,확정,자체구입,D009,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2022-11-25,838000,2022-11-28,인문대학,취득,10,4,확정,자체구입,D004,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2016-07-08,23890000,2016-07-14,중앙도서관,취득,7,8,확정,자체구입,D008,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2024-06-09,4874000,2024-08-01,소프트웨어융합대학,취득,10,6,확정,자체구입,D001,Vero quaerat quidem impedit est.
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2018-10-12,26425000,2018-10-15,소프트웨어융합대학,취득,7,9,확정,자체구입,D001,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2020-09-16,8185000,2020-10-19,시설팀,취득,6,10,확정,자체구입,D006,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2021-10-22,248000,2021-12-11,인문대학,취득,5,3,확정,자체구입,D004,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2023-11-20,559000,2023-11-26,인문대학,취득,5,9,확정,자체구입,D004,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2023-10-03,7163000,2023-10-05,시설팀,취득,6,10,확정,자체구입,D006,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2015-12-25,3663000,2016-02-02,입학처,취득,6,4,확정,자체구입,D007,Magnam distinctio vitae corporis sunt accusamus optio dolores.
4322260926066170,"라우터, Netgear, (US)PR60X",2015-09-05,3614000,2015-09-09,입학처,취득,6,6,확정,자체구입,D007,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2023-02-26,5606000,2023-04-03,AI연구원,취득,8,9,확정,자체구입,D010,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2018-02-09,3145000,2018-03-14,총무팀,취득,8,5,확정,자체구입,D005,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2021-07-28,88000,2021-07-31,소프트웨어융합대학,취득,5,1,확정,자체구입,D001,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2024-12-22,6035000,,소프트웨어융합대학,취득,8,10,대기,자체구입,D001,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2020-05-11,19202000,2020-06-23,경영대학,취득,7,7,확정,자체구입,D003,
