반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,물품상태,사유
2024-01-01,2024-01-04,badbergjr,박대리,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201700001,2017-12-25,183000,2017-12-31,소프트웨어융합대학,신품,잉여물품
2024-06-12,2024-06-15,badbergjr,박대리,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201700003,2017-12-25,183000,2017-12-31,소프트웨어융합대학,정비필요품,고장/파손
2023-05-17,2023-05-20,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000012,2020-04-04,7149000,2020-05-19,총무팀,폐품,사용연한경과
2023-08-24,2023-08-27,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000013,2020-04-04,7149000,2020-05-19,총무팀,중고품,사업종료
2021-11-23,2021-11-26,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000014,2020-04-04,7149000,2020-05-19,총무팀,중고품,사업종료
2024-11-22,2024-11-25,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000016,2020-04-04,7149000,2020-05-19,총무팀,정비필요품,고장/파손
2026-01-13,2026-01-16,badbergjr,박대리,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900017,2019-04-13,266000,2019-04-15,공과대학,폐품,사용연한경과
2023-05-14,2023-05-17,badbergjr,박대리,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900018,2019-04-13,266000,2019-04-15,공과대학,정비필요품,고장/파손
2024-07-03,2024-07-06,badbergjr,박대리,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201900023,2019-04-13,266000,2019-04-15,공과대학,중고품,불용결정
2021-08-17,2021-08-20,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600037,2016-07-08,23890000,2016-07-14,중앙도서관,중고품,사업종료
2022-07-03,2022-07-06,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600041,2016-07-08,23890000,2016-07-14,중앙도서관,정비필요품,고장/파손
2019-10-19,2019-10-22,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600043,2016-07-08,23890000,2016-07-14,중앙도서관,중고품,불용결정
2022-10-06,2022-10-09,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600044,2016-07-08,23890000,2016-07-14,중앙도서관,신품,잉여물품
2019-12-07,2019-12-10,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201800051,2018-10-12,26425000,2018-10-15,소프트웨어융합대학,폐품,사용연한경과
2021-02-26,2021-03-01,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201800054,2018-10-12,26425000,2018-10-15,소프트웨어융합대학,중고품,불용결정
2024-08-20,2024-08-23,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201800057,2018-10-12,26425000,2018-10-15,소프트웨어융합대학,정비필요품,고장/파손
2020-02-04,2020-02-07,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201800059,2018-10-12,26425000,2018-10-15,소프트웨어융합대학,폐품,사용연한경과
2023-06-18,2023-06-21,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000061,2020-09-16,8185000,2020-10-19,시설팀,신품,잉여물품
2025-08-06,2025-08-09,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000064,2020-09-16,8185000,2020-10-19,시설팀,중고품,불용결정
2024-09-12,2024-09-15,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000065,2020-09-16,8185000,2020-10-19,시설팀,중고품,사업종료
2023-10-05,2023-10-08,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000066,2020-09-16,8185000,2020-10-19,시설팀,정비필요품,고장/파손
2022-08-09,2022-08-12,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000069,2020-09-16,8185000,2020-10-19,시설팀,중고품,불용결정
2024-09-27,,badbergjr,박대리,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100072,2021-10-22,248000,2021-12-11,인문대학,중고품,불용결정
2018-01-28,2018-01-31,badbergjr,박대리,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500092,2015-12-25,3663000,2016-02-02,입학처,중고품,불용결정
2019-04-16,2019-04-19,badbergjr,박대리,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500093,2015-12-25,3663000,2016-02-02,입학처,중고품,불용결정
2025-02-26,2025-03-01,badbergjr,박대리,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500094,2015-12-25,3663000,2016-02-02,입학처,폐품,사용연한경과
2023-04-11,2023-04-14,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201500098,2015-09-05,3614000,2015-09-09,입학처,정비필요품,고장/파손
2018-02-13,2018-02-16,badbergjr,박대리,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201500100,2015-09-05,3614000,2015-09-09,입학처,정비필요품,고장/파손
2025-03-18,2025-03-21,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800112,2018-02-09,3145000,2018-03-14,총무팀,중고품,불용결정
2020-11-05,2020-11-08,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800113,2018-02-09,3145000,2018-03-14,총무팀,폐품,사용연한경과
2025-12-26,2025-12-29,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800114,2018-02-09,3145000,2018-03-14,총무팀,폐품,사용연한경과
2026-01-06,2026-01-09,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100116,2021-07-28,88000,2021-07-31,소프트웨어융합대학,중고품,사업종료
2024-12-28,2024-12-31,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202000118,2020-05-11,19202000,2020-06-23,경영대학,정비필요품,고장/파손
2022-10-04,2022-10-07,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202000120,2020-05-11,19202000,2020-06-23,경영대학,중고품,사업종료
2022-05-13,2022-05-16,badbergjr,박대리,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202000121,2020-05-11,19202000,2020-06-23,경영대학,중고품,불용결정
2021-08-18,2021-08-21,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700137,2017-11-02,12552000,2017-11-08,입학처,폐품,사용연한경과
2024-08-28,2024-08-31,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700138,2017-11-02,12552000,2017-11-08,입학처,폐품,사용연한경과
2021-09-09,2021-09-12,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700139,2017-11-02,12552000,2017-11-08,입학처,중고품,불용결정
2021-10-02,2021-10-05,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700141,2017-11-02,12552000,2017-11-08,입학처,정비필요품,고장/파손
2023-07-11,2023-07-14,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201800179,2018-11-17,1680000,2018-12-17,공과대학,정비필요품,고장/파손
2020-12-18,2020-12-21,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201800180,2018-11-17,1680000,2018-12-17,공과대학,폐품,사용연한경과
2025-10-17,2025-10-20,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201800182,2018-11-17,1680000,2018-12-17,공과대학,폐품,사용연한경과
2022-09-15,2022-09-18,badbergjr,박대리,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201800187,2018-11-17,1680000,2018-12-17,공과대학,정비필요품,고장/파손
2019-01-17,2019-01-20,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600190,2016-06-08,2181000,2016-07-11,총무팀,정비필요품,고장/파손
2024-04-26,2024-04-29,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600191,2016-06-08,2181000,2016-07-11,총무팀,폐품,사용연한경과
2018-01-07,2018-01-10,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600192,2016-06-08,2181000,2016-07-11,총무팀,중고품,사업종료
2018-02-21,2018-02-24,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600194,2016-06-08,2181000,2016-07-11,총무팀,중고품,불용결정
2025-04-29,2025-05-02,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600196,2016-06-08,2181000,2016-07-11,총무팀,폐품,사용연한경과
2025-09-21,2025-09-24,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600197,2016-06-08,2181000,2016-07-11,총무팀,폐품,사용연한경과
2021-02-04,2021-02-07,badbergjr,박대리,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600201,2016-06-08,2181000,2016-07-11,총무팀,중고품,불용결정
2021-11-27,,badbergjr,박대리,대기,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201600202,2016-11-20,6101000,2016-11-23,총무팀,폐품,사용연한경과
2020-07-13,2020-07-16,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201600203,2016-11-20,6101000,2016-11-23,총무팀,신품,잉여물품
2024-04-18,2024-04-21,badbergjr,박대리,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201600204,2016-11-20,6101000,2016-11-23,총무팀,정비필요품,고장/파손
2024-06-29,2024-07-02,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800268,2018-11-20,1776000,2018-11-27,입학처,폐품,사용연한경과
2024-02-13,2024-02-16,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201800269,2018-11-20,1776000,2018-11-27,입학처,폐품,사용연한경과
2018-05-16,2018-05-19,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600274,2016-12-01,6169000,2016-12-03,입학처,중고품,불용결정
2019-05-22,2019-05-25,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600275,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2024-06-26,2024-06-29,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600277,2016-12-01,6169000,2016-12-03,입학처,정비필요품,고장/파손
2024-03-27,2024-03-30,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600278,2016-12-01,6169000,2016-12-03,입학처,폐품,사용연한경과
2024-05-30,2024-06-02,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201600279,2016-12-01,6169000,2016-12-03,입학처,중고품,사업종료
