불용일자,등록일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2024-10-06,2024-10-06,2024-10-13,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100007,2021-01-09,4474000,2021-02-09,,반납,10,폐품,내구연한 경과
2025-07-17,2025-07-17,2025-07-24,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100008,2021-01-09,4474000,2021-02-09,,반납,10,정비필요품,수리비용과다
2025-01-16,2025-01-16,2025-01-23,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100010,2021-01-09,4474000,2021-02-09,,반납,10,중고품,구형화
2025-01-07,2025-01-07,2025-01-14,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100011,2021-01-09,4474000,2021-02-09,,반납,10,중고품,활용부서부재
2023-06-19,2023-06-19,2023-06-26,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100012,2021-01-09,4474000,2021-02-09,,반납,10,폐품,내구연한 경과
2023-12-01,2023-12-01,2023-12-08,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200014,2022-05-13,13982000,2022-05-18,,반납,6,폐품,내구연한 경과
2023-07-22,2023-07-22,2023-07-29,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201600022,2016-05-26,2229000,2016-07-03,,반납,5,폐품,내구연한 경과
2024-07-25,2024-07-25,2024-08-01,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200034,2022-04-06,7352000,2022-04-09,,반납,10,정비필요품,수리비용과다
2025-02-12,2025-02-12,2025-02-19,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200040,2022-04-06,7352000,2022-04-09,,반납,10,폐품,내구연한 경과
2024-01-26,2024-01-26,2024-02-02,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900047,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2026-05-30,2026-05-30,2026-06-06,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900049,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2024-07-20,2024-07-20,2024-07-27,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900050,2019-11-26,8100000,2019-11-28,,반납,10,중고품,활용부서부재
2021-12-06,2021-12-06,,hyl0610,황팀장,반려,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900051,2019-11-26,8100000,2019-11-28,,반납,10,폐품,내구연한 경과
2023-03-11,2023-03-11,2023-03-18,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900055,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2023-02-21,2023-02-21,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900059,2019-11-26,8100000,2019-11-28,,반납,10,중고품,구형화
2025-03-16,2025-03-16,2025-03-23,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900060,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2022-12-22,2022-12-22,2022-12-29,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900066,2019-11-26,8100000,2019-11-28,,반납,10,중고품,구형화
2021-08-12,2021-08-12,2021-08-19,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900070,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2022-02-03,2022-02-03,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900072,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2022-05-28,2022-05-28,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900073,2019-11-26,8100000,2019-11-28,,반납,10,중고품,구형화
2021-12-22,2021-12-22,2021-12-29,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900074,2019-11-26,8100000,2019-11-28,,반납,10,정비필요품,수리비용과다
2025-06-01,2025-06-01,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900076,2019-11-26,8100000,2019-11-28,,반납,10,중고품,구형화
2023-06-10,2023-06-10,,hyl0610,황팀장,반려,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800086,2018-06-15,344000,2018-06-22,,반납,5,정비필요품,수리비용과다
2021-04-03,2021-04-03,2021-04-10,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800087,2018-06-15,344000,2018-06-22,,반납,5,중고품,구형화
2021-09-06,2021-09-06,2021-09-13,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800091,2018-06-15,344000,2018-06-22,,반납,5,폐품,내구연한 경과
2021-05-27,2021-05-27,2021-06-03,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900092,2019-04-11,453000,2019-04-12,,반납,5,폐품,내구연한 경과
2022-11-11,2022-11-11,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900093,2019-04-11,453000,2019-04-12,,반납,5,정비필요품,수리비용과다
2021-12-31,2021-12-31,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900094,2019-04-11,453000,2019-04-12,,반납,5,폐품,내구연한 경과
2023-11-06,2023-11-06,2023-11-13,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800098,2018-12-09,308000,2018-12-13,,반납,5,정비필요품,수리비용과다
2024-12-02,2024-12-02,2024-12-09,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800101,2018-12-09,308000,2018-12-13,,반납,5,정비필요품,수리비용과다
2022-04-19,2022-04-19,2022-04-26,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900102,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2023-01-03,2023-01-03,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900104,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2025-08-09,2025-08-09,2025-08-16,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900105,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2021-05-21,2021-05-21,2021-05-28,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900106,2019-07-16,7868000,2019-08-24,,반납,10,중고품,활용부서부재
2023-05-19,2023-05-19,2023-05-26,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900108,2019-07-16,7868000,2019-08-24,,반납,10,중고품,활용부서부재
2025-02-26,2025-02-26,2025-03-05,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900109,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2024-07-23,2024-07-23,2024-07-30,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900110,2019-07-16,7868000,2019-08-24,,반납,10,중고품,활용부서부재
2023-11-14,2023-11-14,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900111,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2025-08-06,2025-08-06,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900112,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2023-03-29,2023-03-29,2023-04-05,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900113,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2022-04-28,2022-04-28,2022-05-05,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900114,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2022-10-20,2022-10-20,2022-10-27,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900115,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2022-03-27,2022-03-27,2022-04-03,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900118,2019-07-16,7868000,2019-08-24,,반납,10,폐품,내구연한 경과
2022-06-11,2022-06-11,2022-06-18,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900119,2019-07-16,7868000,2019-08-24,,반납,10,정비필요품,수리비용과다
2024-12-01,2024-12-01,2024-12-08,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900120,2019-07-16,7868000,2019-08-24,,반납,10,중고품,활용부서부재
2024-04-02,2024-04-02,,hyl0610,황팀장,반려,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900123,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
2023-06-03,2023-06-03,2023-06-10,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900126,2019-07-16,7868000,2019-08-24,,반납,10,중고품,구형화
