처분일자,처분정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,불용일자,내용연수,처분확정일자,정리일자
2024-11-16,폐기,hyl0610,황팀장,대기,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100007,2021-01-09,4474000,폐기,폐품,내구연한 경과,2024-10-13,10,,2021-02-09
2025-09-08,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100008,2021-01-09,4474000,폐기,정비필요품,수리비용과다,2025-07-24,10,2025-09-11,2021-02-09
2025-02-27,매각,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100010,2021-01-09,4474000,매각,중고품,구형화,2025-01-23,10,2025-03-04,2021-02-09
2025-03-02,매각,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100011,2021-01-09,4474000,매각,중고품,활용부서부재,2025-01-14,10,2025-03-06,2021-02-09
2023-07-23,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100012,2021-01-09,4474000,폐기,폐품,내구연한 경과,2023-06-26,10,2023-07-30,2021-02-09
2024-02-01,폐기,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200014,2022-05-13,13982000,폐기,폐품,내구연한 경과,2023-12-08,6,2024-02-04,2022-05-18
2023-09-02,폐기,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201600022,2016-05-26,2229000,폐기,폐품,내구연한 경과,2023-07-29,5,2023-09-07,2016-07-03
2024-09-17,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200034,2022-04-06,7352000,폐기,정비필요품,수리비용과다,2024-08-01,10,2024-09-20,2022-04-09
2025-04-10,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200040,2022-04-06,7352000,폐기,폐품,내구연한 경과,2025-02-19,10,2025-04-16,2022-04-09
2024-03-27,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900047,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2024-02-02,10,2024-03-30,2019-11-28
2024-09-04,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900050,2019-11-26,8100000,매각,중고품,활용부서부재,2024-07-27,10,2024-09-10,2019-11-28
2023-05-04,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900055,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2023-03-18,10,2023-05-09,2019-11-28
2025-04-21,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900060,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2025-03-23,10,2025-04-24,2019-11-28
2023-02-14,매각,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900066,2019-11-26,8100000,매각,중고품,구형화,2022-12-29,10,2023-02-17,2019-11-28
2021-09-11,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900070,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2021-08-19,10,2021-09-17,2019-11-28
2022-01-24,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900074,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2021-12-29,10,2022-01-28,2019-11-28
2021-04-25,매각,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800087,2018-06-15,344000,매각,중고품,구형화,2021-04-10,5,2021-04-30,2018-06-22
2021-10-05,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800091,2018-06-15,344000,폐기,폐품,내구연한 경과,2021-09-13,5,2021-10-08,2018-06-22
2021-07-08,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900092,2019-04-11,453000,폐기,폐품,내구연한 경과,2021-06-03,5,2021-07-15,2019-04-12
2023-12-10,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800098,2018-12-09,308000,폐기,정비필요품,수리비용과다,2023-11-13,5,2023-12-17,2018-12-13
2025-01-18,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800101,2018-12-09,308000,폐기,정비필요품,수리비용과다,2024-12-09,5,2025-01-21,2018-12-13
2022-06-04,폐기,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900102,2019-07-16,7868000,폐기,폐품,내구연한 경과,2022-04-26,10,,2019-08-24
2025-10-01,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900105,2019-07-16,7868000,폐기,폐품,내구연한 경과,2025-08-16,10,2025-10-06,2019-08-24
2021-07-27,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900106,2019-07-16,7868000,매각,중고품,활용부서부재,2021-05-28,10,2021-07-30,2019-08-24
2023-07-09,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900108,2019-07-16,7868000,매각,중고품,활용부서부재,2023-05-26,10,2023-07-14,2019-08-24
2025-04-27,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900109,2019-07-16,7868000,폐기,폐품,내구연한 경과,2025-03-05,10,2025-05-04,2019-08-24
2024-09-27,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900110,2019-07-16,7868000,매각,중고품,활용부서부재,2024-07-30,10,2024-10-02,2019-08-24
2023-05-05,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900113,2019-07-16,7868000,폐기,폐품,내구연한 경과,2023-04-05,10,2023-05-11,2019-08-24
2022-07-01,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900114,2019-07-16,7868000,매각,중고품,구형화,2022-05-05,10,2022-07-07,2019-08-24
2022-12-04,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900115,2019-07-16,7868000,폐기,폐품,내구연한 경과,2022-10-27,10,2022-12-10,2019-08-24
2022-04-22,폐기,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900118,2019-07-16,7868000,폐기,폐품,내구연한 경과,2022-04-03,10,,2019-08-24
