G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,운용부서,물품상태,사유
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200005,2022-11-20,10590000,,중고품,활용부서부재
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100010,2021-01-09,4474000,,정비필요품,수리비용과다
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100011,2021-01-09,4474000,,정비필요품,수리비용과다
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200018,2022-05-13,13982000,,정비필요품,수리비용과다
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200019,2022-05-13,13982000,,중고품,구형화
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200020,2022-05-13,13982000,,중고품,활용부서부재
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201600021,2016-05-26,2229000,,정비필요품,수리비용과다
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200041,2022-04-06,7352000,,폐품,내구연한 경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900045,2019-11-26,8100000,,폐품,내구연한 경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900049,2019-11-26,8100000,,폐품,내구연한 경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900051,2019-11-26,8100000,,중고품,구형화
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900055,2019-11-26,8100000,,정비필요품,수리비용과다
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900056,2019-11-26,8100000,,폐품,내구연한 경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900057,2019-11-26,8100000,,정비필요품,수리비용과다
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900059,2019-11-26,8100000,,중고품,구형화
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900062,2019-11-26,8100000,,폐품,내구연한 경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900063,2019-11-26,8100000,,정비필요품,수리비용과다
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900065,2019-11-26,8100000,,정비필요품,수리비용과다
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900068,2019-11-26,8100000,,중고품,구형화
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900069,2019-11-26,8100000,,중고품,구형화
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900070,2019-11-26,8100000,,정비필요품,수리비용과다
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900072,2019-11-26,8100000,,중고품,구형화
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900073,2019-11-26,8100000,,폐품,내구연한 경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900074,2019-11-26,8100000,,중고품,활용부서부재
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900078,2019-11-26,8100000,,폐품,내구연한 경과
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800086,2018-06-15,344000,,정비필요품,수리비용과다
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800087,2018-06-15,344000,,폐품,내구연한 경과
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800088,2018-06-15,344000,,폐품,내구연한 경과
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800090,2018-06-15,344000,,중고품,활용부서부재
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900096,2019-04-11,453000,,폐품,내구연한 경과
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800097,2018-12-09,308000,,폐품,내구연한 경과
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800098,2018-12-09,308000,,중고품,구형화
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800100,2018-12-09,308000,,정비필요품,수리비용과다
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900103,2019-07-16,7868000,,폐품,내구연한 경과
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900104,2019-07-16,7868000,,폐품,내구연한 경과
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900106,2019-07-16,7868000,,중고품,구형화
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900108,2019-07-16,7868000,,폐품,내구연한 경과
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900109,2019-07-16,7868000,,폐품,내구연한 경과
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900110,2019-07-16,7868000,,정비필요품,수리비용과다
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900111,2019-07-16,7868000,,중고품,구형화
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900112,2019-07-16,7868000,,정비필요품,수리비용과다
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900113,2019-07-16,7868000,,정비필요품,수리비용과다
