G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,정리일자,불용일자,내용연수
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202100011,2021-01-09,4474000,폐기,정비필요품,수리비용과다,2021-02-09,2022-04-05,10
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200018,2022-05-13,13982000,폐기,정비필요품,수리비용과다,2022-05-18,2025-02-08,6
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202200020,2022-05-13,13982000,폐기,중고품,활용부서부재,2022-05-18,2024-01-26,6
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200041,2022-04-06,7352000,매각,폐품,내구연한 경과,2022-04-09,2023-10-20,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900045,2019-11-26,8100000,폐기,폐품,내구연한 경과,2019-11-28,2022-06-07,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900049,2019-11-26,8100000,폐기,폐품,내구연한 경과,2019-11-28,2025-03-23,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900051,2019-11-26,8100000,매각,중고품,구형화,2019-11-28,2024-04-19,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900056,2019-11-26,8100000,폐기,폐품,내구연한 경과,2019-11-28,2023-08-29,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900057,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2019-11-28,2023-11-05,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900063,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2019-11-28,2025-05-26,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900065,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2019-11-28,2024-08-26,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900070,2019-11-26,8100000,폐기,정비필요품,수리비용과다,2019-11-28,2023-05-06,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900074,2019-11-26,8100000,매각,중고품,활용부서부재,2019-11-28,2021-10-16,10
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800086,2018-06-15,344000,폐기,정비필요품,수리비용과다,2018-06-22,2023-06-27,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800087,2018-06-15,344000,매각,폐품,내구연한 경과,2018-06-22,2020-05-12,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800090,2018-06-15,344000,매각,중고품,활용부서부재,2018-06-22,2021-11-19,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900096,2019-04-11,453000,매각,폐품,내구연한 경과,2019-04-12,2022-06-20,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800098,2018-12-09,308000,매각,중고품,구형화,2018-12-13,2025-01-26,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800100,2018-12-09,308000,폐기,정비필요품,수리비용과다,2018-12-13,2025-06-08,5
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900106,2019-07-16,7868000,매각,중고품,구형화,2019-08-24,2022-11-05,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900111,2019-07-16,7868000,매각,중고품,구형화,2019-08-24,2025-06-18,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900112,2019-07-16,7868000,폐기,정비필요품,수리비용과다,2019-08-24,2021-08-12,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900113,2019-07-16,7868000,폐기,정비필요품,수리비용과다,2019-08-24,2025-10-24,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900115,2019-07-16,7868000,폐기,정비필요품,수리비용과다,2019-08-24,2025-07-31,10
