G2B_목록번호,G2B_목록명,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,수량
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-08,5530000,2015-03-13,,반납,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-08,5530000,2015-03-13,,처분,6,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-08,5530000,2015-03-13,공학대학RC행정팀(ERICA),운용,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-15,4949000,2015-03-22,,반납,6,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-15,4949000,2015-03-22,,처분,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-15,4949000,2015-03-22,글로벌문화통상대학RC행정팀(ERICA),운용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-17,6140000,2015-02-18,,반납,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-17,6140000,2015-02-18,,처분,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-17,6140000,2015-02-18,시설팀(ERICA),운용,6,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-18,5054000,2015-02-25,,반납,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-18,5054000,2015-02-25,,불용,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-18,5054000,2015-02-25,,처분,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-18,5054000,2015-02-25,시설팀(ERICA),운용,6,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-24,5402000,2015-02-28,,불용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-24,5402000,2015-02-28,,처분,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-02-24,5402000,2015-02-28,학생지원팀(ERICA),운용,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-12,7807000,2015-05-05,,반납,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-12,7807000,2015-05-05,,불용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-12,7807000,2015-05-05,,처분,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-12,7807000,2015-05-05,시설팀(ERICA),운용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-16,6375000,2015-04-26,,반납,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-16,6375000,2015-04-26,,처분,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-03-16,6375000,2015-04-26,경상대학RC행정팀(ERICA),운용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-04-12,1634000,2015-05-27,,처분,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-04-12,1634000,2015-05-27,시설팀(ERICA),운용,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-04-22,3209000,2015-04-26,,반납,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-04-22,3209000,2015-04-26,,불용,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-04-22,3209000,2015-04-26,,처분,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-20,4080000,2015-05-27,,처분,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-20,4080000,2015-05-27,시설팀(ERICA),운용,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-23,2723000,2015-05-29,,반납,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-23,2723000,2015-05-29,,처분,6,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-23,2723000,2015-05-29,경상대학RC행정팀(ERICA),운용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-27,4273000,2015-05-30,,처분,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-27,4273000,2015-05-30,공학대학RC행정팀(ERICA),운용,6,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-31,7067000,2015-07-12,,반납,6,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-31,7067000,2015-07-12,,불용,6,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2015-05-31,7067000,2015-07-12,공학대학RC행정팀(ERICA),운용,6,4
