G2B_목록번호,G2B_목록명,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,수량,승인상태,취득정리구분,운용부서코드,비고
4321150324343967,노트북컴퓨터,ERICA,2015-11-19,5760000,2015-11-23,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2021-02-09,1224000,2021-02-17,소프트웨어융합대학RC행정팀(ERICA),취득,6,1,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2016-02-18,5545000,2016-02-29,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2023-05-28,3573000,2023-06-11,소프트웨어융합대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2015-09-10,4940000,2015-09-19,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2021-02-23,4888000,2021-03-02,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2016-02-14,4784000,2016-02-21,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2023-12-01,6575000,2023-12-11,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2015-06-15,5370000,2015-06-29,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2021-07-17,6035000,2021-07-21,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2018-02-20,3408000,2018-03-04,소프트웨어융합대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C354,교수·연구원 업무용
4321150324343967,노트북컴퓨터,ERICA,2024-02-19,6800000,2024-02-22,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2017-11-20,6200000,2017-11-27,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2024-05-24,3885000,2024-05-30,소프트웨어융합대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2016-02-11,2146000,2016-02-16,소프트웨어융합대학RC행정팀(ERICA),취득,6,2,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2024-02-11,5965000,2024-02-18,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2017-12-04,3417000,2017-12-16,소프트웨어융합대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2024-09-13,3744000,2024-09-16,소프트웨어융합대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2018-08-11,3216000,2018-08-19,소프트웨어융합대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C354,AI 실습 수업용 노트북
4321150324343967,노트북컴퓨터,ERICA,2024-09-03,4724000,2024-09-15,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,전산 실습실 공용 장비
4321150324343967,노트북컴퓨터,ERICA,2015-09-12,2464000,2015-09-19,소프트웨어융합대학RC행정팀(ERICA),취득,6,2,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2022-02-17,6225000,2022-03-02,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,전산 실습실 공용 장비
4321150324343967,노트북컴퓨터,ERICA,2016-03-21,6150000,2016-03-28,소프트웨어융합대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C354,
4321150324343967,노트북컴퓨터,ERICA,2022-08-17,4628000,2022-08-20,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,
