G2B_목록번호,G2B_목록명,물품고유번호,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,출력상태,승인상태,취득정리구분,운용부서코드,비고,운용확정일자
4321150324343967,노트북컴퓨터,M201800001,ERICA,2018-05-31,1074000,2018-06-08,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,,2018-06-21
4321150324343967,노트북컴퓨터,M202500002,ERICA,2025-07-04,4236000,2025-07-14,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2025-07-27
4321150324343967,노트북컴퓨터,M202500003,ERICA,2025-07-04,4236000,2025-07-14,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2025-08-06
4321150324343967,노트북컴퓨터,M202500004,ERICA,2025-07-04,4236000,2025-07-14,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2025-08-03
4321150324343967,노트북컴퓨터,M201800005,ERICA,2018-07-28,3459000,2018-08-06,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,학과 공용 전산 자산,2018-08-17
4321150324343967,노트북컴퓨터,M201800006,ERICA,2018-07-28,3459000,2018-08-06,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,학과 공용 전산 자산,2018-08-13
4321150324343967,노트북컴퓨터,M201800007,ERICA,2018-07-28,3459000,2018-08-06,소프트웨어융합대학RC행정팀(ERICA),취득,6,미출력,확정,자체구입,C354,학과 공용 전산 자산,
4321150324343967,노트북컴퓨터,M201500008,ERICA,2015-08-21,5635000,2015-08-26,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2015-09-09
4321150324343967,노트북컴퓨터,M201500009,ERICA,2015-08-21,5635000,2015-08-26,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,,2015-09-20
4321150324343967,노트북컴퓨터,M201500010,ERICA,2015-08-21,5635000,2015-08-26,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2015-09-10
4321150324343967,노트북컴퓨터,M201500011,ERICA,2015-08-21,5635000,2015-08-26,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2015-09-07
4321150324343967,노트북컴퓨터,M201500012,ERICA,2015-08-21,5635000,2015-08-26,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2015-09-18
4321150324343967,노트북컴퓨터,M202200013,ERICA,2022-04-22,1248000,2022-05-06,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2022-05-14
4321150324343967,노트북컴퓨터,M201900014,ERICA,2019-07-08,2514000,2019-07-15,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2019-07-24
4321150324343967,노트북컴퓨터,M201900015,ERICA,2019-07-08,2514000,2019-07-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2019-08-05
4321150324343967,노트북컴퓨터,M201900016,ERICA,2019-03-19,6055000,2019-03-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2019-04-13
4321150324343967,노트북컴퓨터,M201900017,ERICA,2019-03-19,6055000,2019-03-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2019-04-09
4321150324343967,노트북컴퓨터,M201900018,ERICA,2019-03-19,6055000,2019-03-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,,2019-04-04
4321150324343967,노트북컴퓨터,M201900019,ERICA,2019-03-19,6055000,2019-03-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2019-04-05
4321150324343967,노트북컴퓨터,M201900020,ERICA,2019-03-19,6055000,2019-03-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2019-04-12
4321150324343967,노트북컴퓨터,M202500021,ERICA,2025-11-23,3702000,2025-12-06,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2025-12-27
4321150324343967,노트북컴퓨터,M202500022,ERICA,2025-11-23,3702000,2025-12-06,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2025-12-19
4321150324343967,노트북컴퓨터,M202500023,ERICA,2025-11-23,3702000,2025-12-06,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2025-12-20
4321150324343967,노트북컴퓨터,M201500024,ERICA,2015-08-24,1091000,2015-09-07,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,기증,C354,,2015-09-30
4321150324343967,노트북컴퓨터,M202300025,ERICA,2023-07-26,2488000,2023-07-30,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2023-08-17
4321150324343967,노트북컴퓨터,M202300026,ERICA,2023-07-26,2488000,2023-07-30,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2023-08-26
4321150324343967,노트북컴퓨터,M201800027,ERICA,2018-01-13,6255000,2018-01-19,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,전산 실습실 공용 장비,2018-02-06
4321150324343967,노트북컴퓨터,M201800028,ERICA,2018-01-13,6255000,2018-01-19,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,전산 실습실 공용 장비,2018-02-12
4321150324343967,노트북컴퓨터,M201800029,ERICA,2018-01-13,6255000,2018-01-19,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,전산 실습실 공용 장비,2018-02-04
4321150324343967,노트북컴퓨터,M201800030,ERICA,2018-01-13,6255000,2018-01-19,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,전산 실습실 공용 장비,2018-02-07
4321150324343967,노트북컴퓨터,M201800031,ERICA,2018-01-13,6255000,2018-01-19,소프트웨어융합대학RC행정팀(ERICA),불용,6,출력,확정,자체구입,C354,전산 실습실 공용 장비,2018-02-05
4321150324343967,노트북컴퓨터,M202400032,ERICA,2024-07-20,4149000,2024-07-25,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2024-08-13
4321150324343967,노트북컴퓨터,M202400033,ERICA,2024-07-20,4149000,2024-07-25,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2024-08-14
4321150324343967,노트북컴퓨터,M202400034,ERICA,2024-07-20,4149000,2024-07-25,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2024-08-06
4321150324343967,노트북컴퓨터,M201700035,ERICA,2017-05-24,3486000,2017-06-03,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2017-06-17
4321150324343967,노트북컴퓨터,M201700036,ERICA,2017-05-24,3486000,2017-06-03,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2017-06-25
4321150324343967,노트북컴퓨터,M201700037,ERICA,2017-05-24,3486000,2017-06-03,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2017-06-22
4321150324343967,노트북컴퓨터,M202400038,ERICA,2024-06-23,3675000,2024-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2024-07-15
4321150324343967,노트북컴퓨터,M202400039,ERICA,2024-06-23,3675000,2024-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2024-07-10
4321150324343967,노트북컴퓨터,M202400040,ERICA,2024-06-23,3675000,2024-06-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2024-07-13
4321150324343967,노트북컴퓨터,M201500041,ERICA,2015-04-25,3693000,2015-05-04,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2015-05-29
4321150324343967,노트북컴퓨터,M201500042,ERICA,2015-04-25,3693000,2015-05-04,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,,2015-05-09
4321150324343967,노트북컴퓨터,M201500043,ERICA,2015-04-25,3693000,2015-05-04,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2015-05-14
4321150324343967,노트북컴퓨터,M202300044,ERICA,2023-05-04,2488000,2023-05-16,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,기증,C354,교수·연구원 업무용,2023-05-25
4321150324343967,노트북컴퓨터,M202300045,ERICA,2023-05-04,2488000,2023-05-16,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,기증,C354,교수·연구원 업무용,2023-06-02
4321150324343967,노트북컴퓨터,M201700046,ERICA,2017-10-14,1216000,2017-10-26,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2017-11-14
4321150324343967,노트북컴퓨터,M202500047,ERICA,2025-03-16,3843000,2025-03-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,학과 공용 전산 자산,2025-04-20
4321150324343967,노트북컴퓨터,M202500048,ERICA,2025-03-16,3843000,2025-03-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,학과 공용 전산 자산,2025-04-09
4321150324343967,노트북컴퓨터,M202500049,ERICA,2025-03-16,3843000,2025-03-29,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,학과 공용 전산 자산,2025-04-15
4321150324343967,노트북컴퓨터,M201600050,ERICA,2016-12-11,3696000,2016-12-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,기증,C354,,2017-01-09
4321150324343967,노트북컴퓨터,M201600051,ERICA,2016-12-11,3696000,2016-12-25,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,기증,C354,,2017-01-16
4321150324343967,노트북컴퓨터,M201600052,ERICA,2016-12-11,3696000,2016-12-25,소프트웨어융합대학RC행정팀(ERICA),불용,6,출력,확정,기증,C354,,2017-01-05
4321150324343967,노트북컴퓨터,M202300053,ERICA,2023-11-05,6615000,2023-11-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,AI 실습 수업용 노트북,2023-12-06
4321150324343967,노트북컴퓨터,M202300054,ERICA,2023-11-05,6615000,2023-11-15,소프트웨어융합대학RC행정팀(ERICA),불용,6,출력,확정,자체구입,C354,AI 실습 수업용 노트북,2023-11-29
4321150324343967,노트북컴퓨터,M202300055,ERICA,2023-11-05,6615000,2023-11-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,AI 실습 수업용 노트북,2023-11-27
4321150324343967,노트북컴퓨터,M202300056,ERICA,2023-11-05,6615000,2023-11-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,AI 실습 수업용 노트북,2023-12-01
4321150324343967,노트북컴퓨터,M202300057,ERICA,2023-11-05,6615000,2023-11-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,AI 실습 수업용 노트북,2023-11-30
4321150324343967,노트북컴퓨터,M201700058,ERICA,2017-02-05,5920000,2017-02-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체구입,C354,,2017-03-09
4321150324343967,노트북컴퓨터,M201700059,ERICA,2017-02-05,5920000,2017-02-15,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체구입,C354,,2017-03-14
4321150324343967,노트북컴퓨터,M201700060,ERICA,2017-02-05,5920000,2017-02-15,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체구입,C354,,2017-02-20
