운용신청일자,등록일자,운용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,운용부서,사용자,신청구분,운용상태
2018-06-13,2018-06-13,2018-06-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800001,2018-05-31,1074000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-07-19,2025-07-19,2025-07-27,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500002,2025-07-04,4236000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-07-27,2025-07-27,2025-08-06,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500003,2025-07-04,4236000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2025-07-23,2025-07-23,2025-08-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202500004,2025-07-04,4236000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2018-08-10,2018-08-10,2018-08-17,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800005,2018-07-28,3459000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2018-08-10,2018-08-10,2018-08-13,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201800006,2018-07-28,3459000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,운용
2018-08-08,2018-08-08,,badbergjr,박대리,반려,4321150324343967,노트북컴퓨터,M201800007,2018-07-28,3459000,소프트웨어융합대학RC행정팀(ERICA),학과 공용 전산 자산,신규운용,취득
2015-08-31,2015-08-31,2015-09-09,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500008,2015-08-21,5635000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-09,2015-09-09,2015-09-20,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500009,2015-08-21,5635000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-07,2015-09-07,2015-09-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500010,2015-08-21,5635000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-08-28,2015-08-28,2015-09-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500011,2015-08-21,5635000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2015-09-06,2015-09-06,2015-09-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500012,2015-08-21,5635000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2022-05-09,2022-05-09,2022-05-14,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202200013,2022-04-22,1248000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
2019-07-16,2019-07-16,2019-07-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201900014,2019-07-08,2514000,소프트웨어융합대학RC행정팀(ERICA),,신규운용,운용
