반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,물품상태,사유
2018-09-03,2018-09-13,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700021,2017-01-18,7001000,2017-01-24,소프트웨어융합대학RC행정팀(ERICA),반납,신품,잉여물품
2023-09-19,2023-09-28,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700022,2017-01-18,7001000,2017-01-24,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-12-12,2023-12-21,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700023,2017-01-18,7001000,2017-01-24,소프트웨어융합대학RC행정팀(ERICA),반납,폐품,사용연한경과
2018-07-17,2018-07-21,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700024,2017-01-18,7001000,2017-01-24,소프트웨어융합대학RC행정팀(ERICA),반납,중고품,불용결정
2024-02-06,2024-02-16,badbergjr,박대리,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202200029,2022-11-12,7619000,2022-11-26,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-11-28,,badbergjr,박대리,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600033,2016-04-03,1460000,2016-04-10,글로벌문화통상대학RC행정팀(ERICA),운용,신품,잉여물품
2020-12-22,2021-01-03,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600034,2016-04-03,1460000,2016-04-10,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2018-04-04,2018-04-18,badbergjr,박대리,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600035,2016-04-03,1460000,2016-04-10,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-04-29,2025-05-03,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201700042,2017-03-13,520000,2017-03-24,공학대학RC행정팀(ERICA),반납,중고품,불용결정
2021-01-28,2021-02-09,badbergjr,박대리,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201700046,2017-10-24,2388000,2017-10-30,학생지원팀(ERICA),반납,중고품,불용결정
2025-02-06,,badbergjr,박대리,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900050,2019-09-17,875000,2019-09-20,경상대학RC행정팀(ERICA),운용,폐품,사용연한경과
2024-10-23,2024-11-06,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900054,2019-09-17,875000,2019-09-20,경상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2022-02-27,2022-03-10,badbergjr,박대리,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900058,2019-09-17,875000,2019-09-20,경상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-03-21,2023-03-24,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202000062,2020-10-22,5638000,2020-10-26,시설팀(ERICA),반납,정비필요품,고장/파손
2021-11-20,2021-12-02,badbergjr,박대리,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202000065,2020-10-22,5638000,2020-10-26,시설팀(ERICA),반납,폐품,사용연한경과
2021-02-09,2021-02-12,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700075,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-06-22,2023-07-04,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700076,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2025-02-19,2025-03-04,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700077,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2023-10-07,2023-10-14,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700078,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2020-06-13,2020-06-20,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700081,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2020-05-05,2020-05-19,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700082,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2026-01-20,2026-01-28,badbergjr,박대리,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201700084,2017-12-01,16271000,2017-12-04,글로벌문화통상대학RC행정팀(ERICA),반납,정비필요품,고장/파손
2021-08-12,2021-08-20,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800140,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2020-03-20,2020-03-23,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800142,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,폐품,사용연한경과
2021-01-05,2021-01-10,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800146,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2024-09-07,2024-09-14,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800149,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,신품,잉여물품
2025-05-28,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800150,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,사업종료
2025-08-21,,badbergjr,박대리,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800151,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,불용결정
2021-06-16,2021-06-28,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800152,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,사업종료
2022-03-20,2022-03-26,badbergjr,박대리,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800153,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),반납,중고품,불용결정
2025-03-23,,badbergjr,박대리,반려,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800154,2018-12-07,5439000,2018-12-18,글로벌문화통상대학RC행정팀(ERICA),운용,중고품,불용결정
