불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2025-08-27,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500001,2015-11-19,5760000,2015-11-23,,운용,6,불용품,노후화(성능저하)
2019-10-04,2019-10-24,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500002,2015-11-19,5760000,2015-11-23,,불용,6,폐품,고장/파손
2025-12-25,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500003,2015-11-19,5760000,2015-11-23,,운용,6,불용품,수리비용과다
2026-01-30,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201500004,2015-11-19,5760000,2015-11-23,,운용,6,불용품,노후화(성능저하)
2020-04-27,2020-05-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500005,2015-11-19,5760000,2015-11-23,,불용,6,불용품,노후화(성능저하)
2025-10-21,2025-11-07,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100006,2021-02-09,1224000,2021-02-17,,불용,6,불용품,노후화(성능저하)
2020-11-20,2020-12-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600007,2016-02-18,5545000,2016-02-29,,불용,6,폐품,고장/파손
2020-04-25,2020-05-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600008,2016-02-18,5545000,2016-02-29,,불용,6,불용품,노후화(성능저하)
2019-08-26,2019-09-18,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600009,2016-02-18,5545000,2016-02-29,,불용,6,불용품,노후화(성능저하)
2025-01-16,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M201600010,2016-02-18,5545000,2016-02-29,,운용,6,불용품,노후화(성능저하)
2021-10-26,2021-11-21,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201600011,2016-02-18,5545000,2016-02-29,,불용,6,폐품,고장/파손
2025-08-06,,badbergjr,박대리,대기,4321150324343967,노트북컴퓨터,M202300013,2023-05-28,3573000,2023-06-11,,운용,6,폐품,고장/파손
2019-06-17,2019-07-05,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500015,2015-09-10,4940000,2015-09-19,,불용,6,불용품,노후화(성능저하)
2019-05-23,2019-06-16,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500016,2015-09-10,4940000,2015-09-19,,불용,6,폐품,고장/파손
2020-05-24,2020-06-23,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500017,2015-09-10,4940000,2015-09-19,,불용,6,불용품,노후화(성능저하)
2019-07-21,2019-08-15,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M201500018,2015-09-10,4940000,2015-09-19,,불용,6,불용품,노후화(성능저하)
2023-12-17,2024-01-03,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100019,2021-02-23,4888000,2021-03-02,,불용,6,불용품,노후화(성능저하)
2025-05-27,2025-06-10,badbergjr,박대리,확정,4321150324343967,노트북컴퓨터,M202100022,2021-02-23,4888000,2021-03-02,,불용,6,폐품,고장/파손
