처분일자,처분확정일자,처분정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,불용일자,내용연수,정리일자
2017-07-16,2017-10-12,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201700044,2017-03-13,520000,폐기,폐품,사용연한경과,2017-07-04,5,2017-03-24
2019-06-02,2019-08-25,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800141,2018-12-07,5439000,폐기,정비필요품,고장/파손,2019-05-21,10,2018-12-18
2022-04-08,2022-07-01,폐기,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100172,2021-10-26,632000,폐기,폐품,사용연한경과,2022-04-03,5,2021-10-30
2021-11-17,2022-01-30,폐기,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100184,2021-05-23,8047000,폐기,정비필요품,고장/파손,2021-11-13,5,2021-05-31
2016-03-14,2016-05-26,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201500194,2015-11-10,4100000,폐기,폐품,직권 불용(파손/노후),2016-03-13,8,2015-11-13
2022-02-25,2022-04-17,폐기,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M202100202,2021-09-08,18365000,폐기,정비필요품,고장/파손,2022-02-23,6,2021-09-19
2024-01-18,2024-03-23,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300250,2023-01-20,8963000,폐기,폐품,사용연한경과,2024-01-10,10,2023-01-24
2023-12-12,2024-03-07,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202300269,2023-01-20,8963000,폐기,폐품,사용연한경과,2023-11-30,10,2023-01-24
2016-09-11,2016-11-12,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600281,2016-06-05,6739000,폐기,폐품,직권 불용(파손/노후),2016-09-08,10,2016-06-14
2017-06-09,2017-09-03,매각,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201600282,2016-06-05,6739000,매각,중고품,사업종료,2017-06-06,10,2016-06-14
2016-07-27,2016-09-18,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201600298,2016-04-23,455000,폐기,폐품,직권 불용(파손/노후),2016-07-15,5,2016-05-02
2020-11-23,2021-02-21,폐기,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201900330,2019-12-09,2130000,폐기,폐품,사용연한경과,2020-11-12,8,2019-12-12
2019-12-15,2020-02-26,매각,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201900354,2019-06-18,3293000,매각,중고품,불용결정,2019-12-13,6,2019-06-23
2015-12-10,2016-02-29,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201500376,2015-07-29,5748000,폐기,폐품,직권 불용(파손/노후),2015-12-01,10,2015-08-06
2022-11-24,,폐기,hyl0610,황팀장,반려,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M202200383,2022-07-28,39000,폐기,정비필요품,고장/파손,2022-11-20,4,2022-08-01
2015-10-25,2015-12-27,폐기,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201500392,2015-05-26,8782000,폐기,폐품,직권 불용(파손/노후),2015-10-15,5,2015-06-05
2021-03-25,2021-06-16,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000466,2020-09-14,2320000,매각,중고품,사업종료,2021-03-11,10,2020-09-17
2015-10-17,2015-12-05,폐기,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201500467,2015-05-17,7427000,폐기,폐품,직권 불용(파손/노후),2015-10-03,6,2015-05-28
2016-02-26,2016-04-08,매각,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201500488,2015-08-08,2920000,매각,중고품,불용결정,2016-02-15,5,2015-08-19
2017-01-24,2017-03-31,폐기,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201600528,2016-10-25,276000,폐기,폐품,사용연한경과,2017-01-19,4,2016-11-03
2022-05-26,2022-07-13,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202100550,2021-11-05,17313000,매각,중고품,불용결정,2022-05-15,10,2021-11-15
2024-10-28,,폐기,hyl0610,황팀장,대기,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500630,2015-03-16,16700000,폐기,폐품,사용연한경과,2015-09-09,10,2015-03-22
2015-07-11,2015-10-02,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500631,2015-03-16,16700000,폐기,폐품,직권 불용(파손/노후),2015-07-10,10,2015-03-22
2015-08-21,2015-10-19,매각,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500635,2015-03-16,16700000,매각,중고품,불용결정,2015-08-20,10,2015-03-22
2016-05-15,2016-06-15,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500644,2015-03-16,16700000,폐기,폐품,사용연한경과,2016-05-12,10,2015-03-22
2015-06-24,,폐기,hyl0610,황팀장,반려,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500645,2015-03-16,16700000,폐기,폐품,직권 불용(파손/노후),2015-06-19,10,2015-03-22
2015-09-18,2015-11-29,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500659,2015-03-16,16700000,폐기,폐품,사용연한경과,2015-09-08,10,2015-03-22
2015-12-30,2016-03-28,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500662,2015-03-16,16700000,폐기,폐품,사용연한경과,2015-12-28,10,2015-03-22
2015-11-16,2016-01-28,폐기,hyl0610,황팀장,확정,5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201500666,2015-03-16,16700000,폐기,폐품,사용연한경과,2015-11-10,10,2015-03-22
2019-06-27,2019-08-31,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800697,2018-04-23,2471000,폐기,정비필요품,고장/파손,2019-06-18,10,2018-05-02
2017-03-14,2017-05-04,폐기,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201600721,2016-10-07,11660000,폐기,폐품,사용연한경과,2017-03-06,6,2016-10-12
2023-10-10,2023-12-21,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202200745,2022-08-11,4421000,폐기,정비필요품,고장/파손,2023-09-29,10,2022-08-25
2021-02-27,2021-05-04,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202000773,2020-03-29,4090000,폐기,정비필요품,고장/파손,2021-02-17,10,2020-04-12
2021-05-16,2021-07-30,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202000777,2020-03-29,4090000,폐기,폐품,사용연한경과,2021-05-02,10,2020-04-12
2017-03-31,2017-05-13,폐기,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600801,2016-12-08,3574000,폐기,폐품,직권 불용(파손/노후),2017-03-20,10,2016-12-12
2017-12-28,2018-02-18,매각,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201600809,2016-12-08,3574000,매각,중고품,사업종료,2017-12-14,10,2016-12-12
2016-02-03,2016-03-19,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201500835,2015-10-08,7473000,폐기,폐품,직권 불용(파손/노후),2016-01-29,10,2015-10-15
2016-02-23,2016-04-27,폐기,hyl0610,황팀장,확정,5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201500837,2015-10-08,7473000,폐기,폐품,직권 불용(파손/노후),2016-02-21,10,2015-10-15
2017-01-30,2017-03-31,폐기,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201600845,2016-09-09,108000,폐기,폐품,직권 불용(파손/노후),2017-01-29,5,2016-09-20
2023-04-04,2023-05-20,폐기,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202200864,2022-08-11,4871000,폐기,폐품,사용연한경과,2023-04-01,10,2022-08-21
