물품고유번호,G2B목록명,물품분류명,내용연수,취득금액,운용부서코드,취득일자,반납일자,불용일자,상태변화,불용사유,물품상태,처분방식,운용부서명,캠퍼스,운용연차,학습데이터여부,잔여내용연수,부서가혹도,누적사용부하,고장임박도,가격민감도,장비중요도,리드타임등급,실제잔여수명,예측잔여수명,(월별)고장예상수량,안전재고,필요수량,AI예측고장일,안전버퍼,권장발주일,예측실행일자,데이터세트구분,운용월수,취득월
M201800001,노트북컴퓨터,노트북컴퓨터,6,1074000,C354,2018-05-31,,2023-12-18,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.76,Y,0.24,1.3,7.49,0.92,0.75,0.52,0,,,0,0,0,,0.0,,2026-02-08,Train,70,5
M202500002,노트북컴퓨터,노트북컴퓨터,6,4236000,C354,2025-07-04,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.6,N,5.4,1.3,0.78,0.01,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Prediction,7,7
M202500003,노트북컴퓨터,노트북컴퓨터,6,4236000,C354,2025-07-04,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.6,N,5.4,1.3,0.78,0.01,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Prediction,7,7
M202500004,노트북컴퓨터,노트북컴퓨터,6,4236000,C354,2025-07-04,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,0.6,N,5.4,1.3,0.78,0.01,0.83,0.58,0,,,0,0,0,,0.0,,2026-02-08,Prediction,7,7
M201800005,노트북컴퓨터,노트북컴퓨터,6,3459000,C354,2018-07-28,,2022-04-25,,노후화(성능저하),불용품,멸실,소프트웨어융합대학RC행정팀(ERICA),ERICA,4.06,Y,1.94,1.3,5.28,0.46,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,49,7
M201800006,노트북컴퓨터,노트북컴퓨터,6,3459000,C354,2018-07-28,,2022-04-27,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.92,Y,2.08,1.3,5.1,0.43,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Train,47,7
M201800007,노트북컴퓨터,노트북컴퓨터,6,3459000,C354,2018-07-28,,,,,,,소프트웨어융합대학RC행정팀(ERICA),ERICA,7.54,N,-1.54,1.3,9.8,1.0,0.82,0.57,0,,,0,0,0,,0.0,,2026-02-08,Prediction,91,7
M201500008,노트북컴퓨터,노트북컴퓨터,6,5635000,C354,2015-08-21,,2026-01-26,,노후화(성능저하),,,소프트웨어융합대학RC행정팀(ERICA),ERICA,10.48,N,-4.48,1.3,13.62,1.0,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,127,8
M201500009,노트북컴퓨터,노트북컴퓨터,6,5635000,C354,2015-08-21,,2020-09-26,,고장/파손,폐품,매각,소프트웨어융합대학RC행정팀(ERICA),ERICA,5.29,N,0.71,1.3,6.88,0.78,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Prediction,64,8
M201500010,노트북컴퓨터,노트북컴퓨터,6,5635000,C354,2015-08-21,,2019-01-10,,노후화(성능저하),불용품,폐기,소프트웨어융합대학RC행정팀(ERICA),ERICA,3.62,Y,2.38,1.3,4.71,0.36,0.84,0.74,1,,,0,0,0,,0.0,,2026-02-08,Train,44,8
