G2B_목록번호,G2B_목록명,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,승인상태,취득정리구분,운용부서코드,비고,수량
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-01-06,4245000,2015-01-20,글로벌문화통상대학RC행정팀(ERICA),불용,6,확정,자체구입,C360,연구 데이터 저장용,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-01-06,4245000,2015-01-20,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,연구 데이터 저장용,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-02-26,1350000,2015-03-04,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-03-12,4269000,2015-03-18,,반납,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-03-12,4269000,2015-03-18,,처분,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-03-12,4269000,2015-03-18,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-06-04,1560000,2015-06-18,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2015-10-22,2882000,2015-11-02,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-02-01,675000,2016-02-07,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-02-25,6598000,2016-03-04,,반납,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-02-25,6598000,2016-03-04,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-02-25,6598000,2016-03-04,경상대학RC행정팀(ERICA),취득,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-03-24,2858000,2016-03-27,,불용,6,확정,자체구입,C354,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-03-24,2858000,2016-03-27,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-03-25,2467000,2016-03-30,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-03-28,6820000,2016-04-05,시설팀(ERICA),운용,6,확정,자체구입,A351,,9
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-04-07,3649000,2016-04-21,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-04-21,5763000,2016-04-25,,불용,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-04-21,5763000,2016-04-25,,처분,6,확정,자체구입,A351,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-04-21,5763000,2016-04-25,시설팀(ERICA),운용,6,확정,자체구입,A351,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-05-21,5633000,2016-05-27,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-05-27,4785000,2016-06-05,,처분,6,확정,기증,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-05-27,4785000,2016-06-05,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,기증,C354,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-05-30,1357000,2016-06-04,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-07-13,5530000,2016-07-18,,반납,6,확정,자체구입,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-07-13,5530000,2016-07-18,,처분,6,확정,자체구입,C354,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-07-13,5530000,2016-07-18,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-08-01,6843000,2016-08-15,,반납,6,확정,자체구입,A351,서버 증설용 스토리지,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-08-01,6843000,2016-08-15,,처분,6,확정,자체구입,A351,서버 증설용 스토리지,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-08-01,6843000,2016-08-15,시설팀(ERICA),운용,6,확정,자체구입,A351,서버 증설용 스토리지,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-09-16,5373000,2016-09-21,,불용,6,확정,자체구입,C364,연구 데이터 저장용,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-09-16,5373000,2016-09-21,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,연구 데이터 저장용,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-09-21,5932000,2016-10-05,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,서버 증설용 스토리지,7
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-09-21,5932000,2016-10-05,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,서버 증설용 스토리지,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-09-29,5148000,2016-10-10,,반납,6,확정,자체구입,C354,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-09-29,5148000,2016-10-10,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-10-08,747000,2016-10-21,경상대학RC행정팀(ERICA),운용,6,확정,자체구입,C364,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-10-16,1477000,2016-10-26,,반납,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-10-16,1477000,2016-10-26,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-12-02,6577000,2016-12-06,,처분,6,확정,자체구입,A320,연구 데이터 저장용,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-12-02,6577000,2016-12-06,학생지원팀(ERICA),운용,6,확정,자체구입,A320,연구 데이터 저장용,8
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-12-08,5690000,2016-12-11,,처분,6,확정,자체구입,A320,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2016-12-08,5690000,2016-12-11,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-01-04,6141000,2017-01-08,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,8
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-01-07,2131000,2017-01-14,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,3
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-02-20,4470000,2017-02-27,,처분,6,확정,자체구입,C352,,2
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-02-20,4470000,2017-02-27,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-02-26,4406000,2017-03-02,,반납,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-02-26,4406000,2017-03-02,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-03-20,4908000,2017-03-30,,반납,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-03-20,4908000,2017-03-30,,처분,6,확정,자체구입,C352,,1
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-03-20,4908000,2017-03-30,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,5
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",ERICA,2017-04-11,1644000,2017-04-22,,반납,6,확정,자체구입,C354,,1
