불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,물품상태,사유
2018-12-25,,hyl0610,황팀장,반려,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201800092,2018-10-13,3069000,2018-10-26,,반납,5,정비필요품,수리비용과다
2016-09-18,2016-10-12,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201500131,2015-09-22,525000,2015-10-03,,반납,5,폐품,내구연한 경과
2016-01-09,2016-02-08,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201500133,2015-09-22,525000,2015-10-03,,반납,5,폐품,내구연한 경과
2020-05-08,2020-05-22,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900162,2019-10-23,5079000,2019-11-02,,반납,10,폐품,내구연한 경과
2020-09-19,2020-10-12,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900175,2019-10-23,5079000,2019-11-02,,반납,10,폐품,내구연한 경과
2020-11-05,2020-11-30,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900236,2019-12-27,1974000,2020-01-09,,반납,10,폐품,내구연한 경과
2020-07-13,2020-08-04,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900243,2019-12-27,1974000,2020-01-09,,반납,10,폐품,내구연한 경과
2017-07-31,2017-08-28,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201600247,2016-12-16,10220000,2016-12-28,,반납,6,정비필요품,수리비용과다
2024-12-18,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800271,2018-01-20,4920000,2018-01-27,,반납,10,폐품,내구연한 경과
2018-08-25,2018-09-08,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800274,2018-01-20,4920000,2018-01-27,,반납,10,폐품,내구연한 경과
2018-05-30,2018-06-15,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800277,2018-01-20,4920000,2018-01-27,,반납,10,정비필요품,수리비용과다
2018-04-14,2018-05-09,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800278,2018-01-20,4920000,2018-01-27,공학대학RC행정팀(ERICA),운용,10,폐품,직권 불용(파손/노후)
2018-06-24,2018-07-19,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800279,2018-01-20,4920000,2018-01-27,,반납,10,중고품,구형화
