G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,정리일자,불용일자,내용연수
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M202200017,2022-05-18,524000,매각,폐품,내구연한 경과,2022-07-10,2025-03-23,5
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800019,2018-06-25,7304000,매각,폐품,내구연한 경과,2018-08-10,2021-02-21,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800024,2018-06-25,7304000,매각,정비필요품,수리비용과다,2018-08-10,2025-03-09,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800027,2018-06-25,7304000,매각,폐품,내구연한 경과,2018-08-10,2020-01-18,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800034,2018-06-25,7304000,매각,정비필요품,수리비용과다,2018-08-10,2024-03-16,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800037,2018-06-25,7304000,매각,정비필요품,수리비용과다,2018-08-10,2020-06-23,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800041,2018-06-25,7304000,매각,중고품,구형화,2018-08-10,2023-01-31,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800042,2018-06-25,7304000,매각,폐품,내구연한 경과,2018-08-10,2022-10-06,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800048,2018-06-25,7304000,멸실,정비필요품,수리비용과다,2018-08-10,2022-11-22,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800054,2018-06-25,7304000,매각,중고품,구형화,2018-08-10,2020-03-23,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800057,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2025-07-12,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800060,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2025-04-24,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800061,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2022-08-20,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800062,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2024-03-17,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800067,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2020-03-26,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800069,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2022-02-25,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800073,2018-08-23,3599000,매각,폐품,내구연한 경과,2018-10-14,2022-02-04,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201800074,2018-08-23,3599000,매각,정비필요품,수리비용과다,2018-10-14,2021-11-28,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100084,2021-06-22,3132000,매각,폐품,내구연한 경과,2021-06-29,2023-12-15,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100090,2021-06-22,3132000,매각,정비필요품,수리비용과다,2021-06-29,2023-11-11,10
4322260926066170,"라우터, Netgear, (US)PR60X",M201800093,2018-07-06,3267000,폐기,중고품,구형화,2018-07-11,2021-06-21,6
4322260926066170,"라우터, Netgear, (US)PR60X",M201800096,2018-07-06,3267000,폐기,중고품,활용부서부재,2018-07-11,2022-10-21,6
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201600099,2016-07-16,1582000,매각,폐품,내구연한 경과,2016-07-20,2022-04-02,5
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201600100,2016-07-16,1582000,매각,폐품,내구연한 경과,2016-07-20,2024-03-22,5
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201600104,2016-07-16,1582000,매각,폐품,내구연한 경과,2016-07-20,2018-06-11,5
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201800108,2018-12-21,7676000,매각,폐품,내구연한 경과,2019-02-06,2020-10-26,6
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201800111,2018-12-21,7676000,매각,폐품,내구연한 경과,2019-02-06,2021-09-20,6
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900122,2019-04-26,490000,도난,중고품,구형화,2019-05-01,2024-12-25,5
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800123,2018-01-16,4562000,매각,폐품,내구연한 경과,2018-02-19,2020-05-20,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800127,2018-01-16,4562000,매각,중고품,활용부서부재,2018-02-19,2023-11-30,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800129,2018-01-16,4562000,매각,폐품,내구연한 경과,2018-02-19,2022-09-26,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800135,2018-01-16,4562000,매각,폐품,내구연한 경과,2018-02-19,2019-09-05,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800136,2018-01-16,4562000,매각,폐품,내구연한 경과,2018-02-19,2019-09-05,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201800139,2018-01-16,4562000,매각,중고품,활용부서부재,2018-02-19,2020-10-16,10
