물품고유번호,Start_Date,End_Date,Is_Current,운용상태,사유,관리자
M201500001,2015-11-23,2015-11-29,False,취득,신규 취득,박대리
M201500001,2015-11-30,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500002,2015-11-23,2015-12-08,False,취득,신규 취득,박대리
M201500002,2015-12-09,2019-10-23,False,운용,신규운용 승인 및 사용 시작,박대리
M201500002,2019-10-24,2020-01-18,False,불용,고장/파손,황팀장
M201500002,2020-01-19,2099-12-31,True,처분,폐기 완료,황팀장
M201500003,2015-11-23,2015-12-14,False,취득,신규 취득,박대리
M201500003,2015-12-15,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500004,2015-11-23,2015-12-14,False,취득,신규 취득,박대리
M201500004,2015-12-15,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500005,2015-11-23,2015-12-04,False,취득,신규 취득,박대리
M201500005,2015-12-05,2020-05-14,False,운용,신규운용 승인 및 사용 시작,박대리
M201500005,2020-05-15,2099-12-31,True,불용,노후화(성능저하),황팀장
M201500015,2015-09-19,2015-09-30,False,취득,신규 취득,박대리
M201500015,2015-10-01,2019-07-04,False,운용,신규운용 승인 및 사용 시작,박대리
M201500015,2019-07-05,2019-10-10,False,불용,노후화(성능저하),황팀장
M201500015,2019-10-11,2099-12-31,True,처분,매각 완료,황팀장
M201500016,2015-09-19,2015-10-08,False,취득,신규 취득,박대리
M201500016,2015-10-09,2019-06-15,False,운용,신규운용 승인 및 사용 시작,박대리
M201500016,2019-06-16,2019-08-24,False,불용,고장/파손,황팀장
M201500016,2019-08-25,2099-12-31,True,처분,폐기 완료,황팀장
M201500017,2015-09-19,2015-10-10,False,취득,신규 취득,박대리
M201500017,2015-10-11,2020-06-22,False,운용,신규운용 승인 및 사용 시작,박대리
M201500017,2020-06-23,2020-09-15,False,불용,노후화(성능저하),황팀장
M201500017,2020-09-16,2099-12-31,True,처분,폐기 완료,황팀장
M201500018,2015-09-19,2015-10-06,False,취득,신규 취득,박대리
M201500018,2015-10-07,2019-08-14,False,운용,신규운용 승인 및 사용 시작,박대리
M201500018,2019-08-15,2019-10-09,False,불용,노후화(성능저하),황팀장
M201500018,2019-10-10,2099-12-31,True,처분,폐기 완료,황팀장
M201500032,2015-06-29,2015-07-18,False,취득,신규 취득,박대리
M201500032,2015-07-19,2021-06-23,False,운용,신규운용 승인 및 사용 시작,박대리
M201500032,2021-06-24,2021-09-09,False,불용,수리비용과다,황팀장
M201500032,2021-09-10,2099-12-31,True,처분,폐기 완료,황팀장
M201500033,2015-06-29,2015-07-22,False,취득,신규 취득,박대리
M201500033,2015-07-23,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500034,2015-06-29,2015-07-04,False,취득,신규 취득,박대리
M201500034,2015-07-05,2020-01-23,False,운용,신규운용 승인 및 사용 시작,박대리
M201500034,2020-01-24,2020-03-31,False,불용,수리비용과다,황팀장
M201500034,2020-04-01,2099-12-31,True,처분,폐기 완료,황팀장
M201500035,2015-06-29,2015-07-08,False,취득,신규 취득,박대리
M201500035,2015-07-09,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500036,2015-06-29,2015-07-08,False,취득,신규 취득,박대리
M201500036,2015-07-09,2019-03-30,False,운용,신규운용 승인 및 사용 시작,박대리
M201500036,2019-03-31,2019-05-24,False,불용,고장/파손,황팀장
M201500036,2019-05-25,2099-12-31,True,처분,폐기 완료,황팀장
M201500078,2015-09-19,2015-10-07,False,취득,신규 취득,박대리
M201500078,2015-10-08,2019-02-19,False,운용,신규운용 승인 및 사용 시작,박대리
M201500078,2019-02-20,2019-04-26,False,불용,수리비용과다,황팀장
M201500078,2019-04-27,2099-12-31,True,처분,폐기 완료,황팀장
M201500079,2015-09-19,2015-09-26,False,취득,신규 취득,박대리
M201500079,2015-09-27,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500094,2015-09-28,2015-10-16,False,취득,신규 취득,박대리
M201500094,2015-10-17,2020-08-01,False,운용,신규운용 승인 및 사용 시작,박대리
M201500094,2020-08-02,2020-10-02,False,불용,고장/파손,황팀장
M201500094,2020-10-03,2099-12-31,True,처분,폐기 완료,황팀장
M201500095,2015-09-28,2015-10-12,False,취득,신규 취득,박대리
M201500095,2015-10-13,2019-12-04,False,운용,신규운용 승인 및 사용 시작,박대리
M201500095,2019-12-05,2020-02-21,False,불용,노후화(성능저하),황팀장
M201500095,2020-02-22,2099-12-31,True,처분,폐기 완료,황팀장
M201500096,2015-09-28,2015-10-04,False,취득,신규 취득,박대리
M201500096,2015-10-05,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500097,2015-09-28,2015-10-10,False,취득,신규 취득,박대리
M201500097,2015-10-11,2019-07-26,False,운용,신규운용 승인 및 사용 시작,박대리
M201500097,2019-07-27,2019-09-28,False,불용,고장/파손,황팀장
M201500097,2019-09-29,2099-12-31,True,처분,폐기 완료,황팀장
M201500098,2015-09-28,2015-10-14,False,취득,신규 취득,박대리
M201500098,2015-10-15,2018-11-13,False,운용,신규운용 승인 및 사용 시작,박대리
M201500098,2018-11-14,2019-02-12,False,불용,고장/파손,황팀장
M201500098,2019-02-13,2099-12-31,True,처분,폐기 완료,황팀장
M201500145,2015-10-22,2015-11-03,False,취득,신규 취득,박대리
M201500145,2015-11-04,2020-01-17,False,운용,신규운용 승인 및 사용 시작,박대리
M201500145,2020-01-18,2020-04-03,False,불용,고장/파손,황팀장
M201500145,2020-04-04,2099-12-31,True,처분,폐기 완료,황팀장
M201500194,2015-09-16,2015-09-28,False,취득,신규 취득,박대리
M201500194,2015-09-29,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500195,2015-09-16,2015-10-06,False,취득,신규 취득,박대리
M201500195,2015-10-07,2020-05-19,False,운용,신규운용 승인 및 사용 시작,박대리
M201500195,2020-05-20,2020-07-30,False,불용,노후화(성능저하),황팀장
M201500195,2020-07-31,2099-12-31,True,처분,폐기 완료,황팀장
M201500196,2015-09-16,2015-10-06,False,취득,신규 취득,박대리
M201500196,2015-10-07,2020-01-15,False,운용,신규운용 승인 및 사용 시작,박대리
M201500196,2020-01-16,2020-04-23,False,불용,고장/파손,황팀장
M201500196,2020-04-24,2099-12-31,True,처분,폐기 완료,황팀장
M201500197,2015-09-16,2015-09-30,False,취득,신규 취득,박대리
M201500197,2015-10-01,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500227,2015-07-06,2015-07-24,False,취득,신규 취득,박대리
M201500227,2015-07-25,2018-08-05,False,운용,신규운용 승인 및 사용 시작,박대리
M201500227,2018-08-06,2018-09-11,False,불용,수리비용과다,황팀장
M201500227,2018-09-12,2099-12-31,True,처분,폐기 완료,황팀장
M201500228,2015-07-06,2015-08-02,False,취득,신규 취득,박대리
M201500228,2015-08-03,2019-01-03,False,운용,신규운용 승인 및 사용 시작,박대리
M201500228,2019-01-04,2019-04-04,False,불용,노후화(성능저하),황팀장
M201500228,2019-04-05,2099-12-31,True,처분,폐기 완료,황팀장
M201500237,2015-05-30,2015-06-15,False,취득,신규 취득,박대리
M201500237,2015-06-16,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500253,2015-05-29,2015-06-15,False,취득,신규 취득,박대리
M201500253,2015-06-16,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500254,2015-05-29,2015-06-15,False,취득,신규 취득,박대리
M201500254,2015-06-16,2018-10-10,False,운용,신규운용 승인 및 사용 시작,박대리
M201500254,2018-10-11,2019-01-02,False,불용,수리비용과다,황팀장
M201500254,2019-01-03,2099-12-31,True,처분,폐기 완료,황팀장
M201500255,2015-05-29,2015-06-20,False,취득,신규 취득,박대리
M201500255,2015-06-21,2019-04-17,False,운용,신규운용 승인 및 사용 시작,박대리
M201500255,2019-04-18,2019-07-06,False,불용,노후화(성능저하),황팀장
M201500255,2019-07-07,2099-12-31,True,처분,폐기 완료,황팀장
M201500269,2015-05-30,2015-06-10,False,취득,신규 취득,박대리
M201500269,2015-06-11,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500270,2015-05-30,2015-06-24,False,취득,신규 취득,박대리
M201500270,2015-06-25,2020-02-06,False,운용,신규운용 승인 및 사용 시작,박대리
M201500270,2020-02-07,2020-04-22,False,불용,수리비용과다,황팀장
M201500270,2020-04-23,2099-12-31,True,처분,폐기 완료,황팀장
M201500271,2015-05-30,2015-06-08,False,취득,신규 취득,박대리
M201500271,2015-06-09,2018-08-25,False,운용,신규운용 승인 및 사용 시작,박대리
M201500271,2018-08-26,2018-10-05,False,불용,수리비용과다,황팀장
M201500271,2018-10-06,2099-12-31,True,처분,폐기 완료,황팀장
M201500272,2015-05-30,2015-06-09,False,취득,신규 취득,박대리
M201500272,2015-06-10,2018-08-14,False,운용,신규운용 승인 및 사용 시작,박대리
M201500272,2018-08-15,2018-10-08,False,불용,수리비용과다,황팀장
M201500272,2018-10-09,2099-12-31,True,처분,폐기 완료,황팀장
M201500273,2015-05-30,2015-06-05,False,취득,신규 취득,박대리
M201500273,2015-06-06,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500331,2015-08-14,2015-08-29,False,취득,신규 취득,박대리
M201500331,2015-08-30,2020-05-23,False,운용,신규운용 승인 및 사용 시작,박대리
M201500331,2020-05-24,2020-07-16,False,불용,수리비용과다,황팀장
M201500331,2020-07-17,2099-12-31,True,처분,폐기 완료,황팀장
M201500332,2015-08-14,2015-08-25,False,취득,신규 취득,박대리
M201500332,2015-08-26,2018-11-14,False,운용,신규운용 승인 및 사용 시작,박대리
M201500332,2018-11-15,2019-01-12,False,불용,수리비용과다,황팀장
M201500332,2019-01-13,2099-12-31,True,처분,폐기 완료,황팀장
M201500342,2015-05-15,2015-05-29,False,취득,신규 취득,박대리
M201500342,2015-05-30,2019-11-26,False,운용,신규운용 승인 및 사용 시작,박대리
M201500342,2019-11-27,2020-02-13,False,불용,수리비용과다,황팀장
M201500342,2020-02-14,2099-12-31,True,처분,폐기 완료,황팀장
M201500343,2015-05-15,2015-05-25,False,취득,신규 취득,박대리
M201500343,2015-05-26,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500344,2015-05-15,2015-05-27,False,취득,신규 취득,박대리
M201500344,2015-05-28,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500345,2015-05-15,2015-05-29,False,취득,신규 취득,박대리
M201500345,2015-05-30,2019-08-13,False,운용,신규운용 승인 및 사용 시작,박대리
M201500345,2019-08-14,2019-10-31,False,불용,고장/파손,황팀장
M201500345,2019-11-01,2099-12-31,True,처분,폐기 완료,황팀장
M201500346,2015-05-15,2015-06-02,False,취득,신규 취득,박대리
M201500346,2015-06-03,2019-08-21,False,운용,신규운용 승인 및 사용 시작,박대리
M201500346,2019-08-22,2019-10-10,False,불용,수리비용과다,황팀장
M201500346,2019-10-11,2099-12-31,True,처분,폐기 완료,황팀장
M201500364,2015-04-18,2015-05-10,False,취득,신규 취득,박대리
M201500364,2015-05-11,2019-01-28,False,운용,신규운용 승인 및 사용 시작,박대리
M201500364,2019-01-29,2019-04-05,False,불용,노후화(성능저하),황팀장
M201500364,2019-04-06,2099-12-31,True,처분,폐기 완료,황팀장
M201500365,2015-04-18,2015-05-01,False,취득,신규 취득,박대리
M201500365,2015-05-02,2018-05-06,False,운용,신규운용 승인 및 사용 시작,박대리
M201500365,2018-05-07,2018-06-23,False,불용,노후화(성능저하),황팀장
M201500365,2018-06-24,2099-12-31,True,처분,폐기 완료,황팀장
M201500373,2016-01-02,2016-01-12,False,취득,신규 취득,박대리
M201500373,2016-01-13,2021-04-18,False,운용,신규운용 승인 및 사용 시작,박대리
M201500373,2021-04-19,2021-05-27,False,불용,수리비용과다,황팀장
M201500373,2021-05-28,2099-12-31,True,처분,폐기 완료,황팀장
M201500374,2016-01-02,2016-01-17,False,취득,신규 취득,박대리
M201500374,2016-01-18,2020-10-18,False,운용,신규운용 승인 및 사용 시작,박대리
M201500374,2020-10-19,2021-01-06,False,불용,노후화(성능저하),황팀장
M201500374,2021-01-07,2099-12-31,True,처분,폐기 완료,황팀장
M201500387,2015-07-19,2099-12-31,True,취득,신규 취득,박대리
M201500388,2015-07-19,2015-08-01,False,취득,신규 취득,박대리
M201500388,2015-08-02,2020-03-16,False,운용,신규운용 승인 및 사용 시작,박대리
M201500388,2020-03-17,2020-05-09,False,불용,노후화(성능저하),황팀장
M201500388,2020-05-10,2099-12-31,True,처분,폐기 완료,황팀장
M201500389,2015-07-19,2015-07-30,False,취득,신규 취득,박대리
M201500389,2015-07-31,2018-10-31,False,운용,신규운용 승인 및 사용 시작,박대리
M201500389,2018-11-01,2019-01-28,False,불용,고장/파손,황팀장
M201500389,2019-01-29,2099-12-31,True,처분,멸실 완료,황팀장
M201500436,2015-06-15,2015-06-27,False,취득,신규 취득,박대리
M201500436,2015-06-28,2018-06-06,False,운용,신규운용 승인 및 사용 시작,박대리
M201500436,2018-06-07,2018-07-21,False,불용,노후화(성능저하),황팀장
M201500436,2018-07-22,2099-12-31,True,처분,폐기 완료,황팀장
M201500437,2015-06-15,2015-07-02,False,취득,신규 취득,박대리
M201500437,2015-07-03,2018-11-01,False,운용,신규운용 승인 및 사용 시작,박대리
M201500437,2018-11-02,2019-01-21,False,불용,수리비용과다,황팀장
M201500437,2019-01-22,2099-12-31,True,처분,폐기 완료,황팀장
M201500438,2015-06-15,2015-06-29,False,취득,신규 취득,박대리
M201500438,2015-06-30,2018-10-19,False,운용,신규운용 승인 및 사용 시작,박대리
M201500438,2018-10-20,2018-12-07,False,불용,수리비용과다,황팀장
M201500438,2018-12-08,2099-12-31,True,처분,매각 완료,황팀장
M201500499,2015-07-14,2015-07-25,False,취득,신규 취득,박대리
M201500499,2015-07-26,2019-10-16,False,운용,신규운용 승인 및 사용 시작,박대리
M201500499,2019-10-17,2019-12-12,False,불용,고장/파손,황팀장
M201500499,2019-12-13,2099-12-31,True,처분,폐기 완료,황팀장
M201500500,2015-07-14,2015-07-31,False,취득,신규 취득,박대리
M201500500,2015-08-01,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500544,2015-02-26,2015-03-10,False,취득,신규 취득,박대리
M201500544,2015-03-11,2020-10-02,False,운용,신규운용 승인 및 사용 시작,박대리
M201500544,2020-10-03,2020-12-11,False,불용,고장/파손,황팀장
M201500544,2020-12-12,2099-12-31,True,처분,폐기 완료,황팀장
M201500558,2015-10-13,2015-10-30,False,취득,신규 취득,박대리
M201500558,2015-10-31,2021-01-26,False,운용,신규운용 승인 및 사용 시작,박대리
M201500558,2021-01-27,2021-03-27,False,불용,노후화(성능저하),황팀장
M201500558,2021-03-28,2099-12-31,True,처분,폐기 완료,황팀장
M201500559,2015-10-13,2015-11-03,False,취득,신규 취득,박대리
M201500559,2015-11-04,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500560,2015-10-13,2015-11-03,False,취득,신규 취득,박대리
M201500560,2015-11-04,2020-12-15,False,운용,신규운용 승인 및 사용 시작,박대리
M201500560,2020-12-16,2021-03-14,False,불용,고장/파손,황팀장
M201500560,2021-03-15,2099-12-31,True,처분,폐기 완료,황팀장
M201500569,2015-11-12,2015-11-30,False,취득,신규 취득,박대리
M201500569,2015-12-01,2020-04-04,False,운용,신규운용 승인 및 사용 시작,박대리
M201500569,2020-04-05,2020-07-15,False,불용,노후화(성능저하),황팀장
M201500569,2020-07-16,2099-12-31,True,처분,폐기 완료,황팀장
M201500637,2015-05-14,2015-05-31,False,취득,신규 취득,박대리
M201500637,2015-06-01,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500638,2015-05-14,2015-05-22,False,취득,신규 취득,박대리
M201500638,2015-05-23,2018-08-23,False,운용,신규운용 승인 및 사용 시작,박대리
M201500638,2018-08-24,2018-11-02,False,불용,고장/파손,황팀장
M201500638,2018-11-03,2099-12-31,True,처분,폐기 완료,황팀장
M201500646,2015-04-08,2015-05-01,False,취득,신규 취득,박대리
M201500646,2015-05-02,2019-09-17,False,운용,신규운용 승인 및 사용 시작,박대리
M201500646,2019-09-18,2019-11-15,False,불용,노후화(성능저하),황팀장
M201500646,2019-11-16,2099-12-31,True,처분,폐기 완료,황팀장
M201500647,2015-04-08,2015-04-24,False,취득,신규 취득,박대리
M201500647,2015-04-25,2018-07-21,False,운용,신규운용 승인 및 사용 시작,박대리
M201500647,2018-07-22,2018-08-22,False,불용,고장/파손,황팀장
M201500647,2018-08-23,2099-12-31,True,처분,폐기 완료,황팀장
M201500670,2015-12-02,2015-12-23,False,취득,신규 취득,박대리
M201500670,2015-12-24,2020-07-25,False,운용,신규운용 승인 및 사용 시작,박대리
M201500670,2020-07-26,2020-09-08,False,불용,고장/파손,황팀장
M201500670,2020-09-09,2099-12-31,True,처분,폐기 완료,황팀장
M201500698,2015-02-21,2015-03-13,False,취득,신규 취득,박대리
M201500698,2015-03-14,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500701,2016-01-07,2016-01-24,False,취득,신규 취득,박대리
M201500701,2016-01-25,2020-07-19,False,운용,신규운용 승인 및 사용 시작,박대리
M201500701,2020-07-20,2020-08-23,False,불용,수리비용과다,황팀장
M201500701,2020-08-24,2099-12-31,True,처분,폐기 완료,황팀장
M201500702,2016-01-07,2099-12-31,True,취득,신규 취득,박대리
M201500703,2016-01-07,2016-01-18,False,취득,신규 취득,박대리
M201500703,2016-01-19,2020-03-25,False,운용,신규운용 승인 및 사용 시작,박대리
M201500703,2020-03-26,2020-05-22,False,불용,수리비용과다,황팀장
M201500703,2020-05-23,2099-12-31,True,처분,폐기 완료,황팀장
M201500704,2016-01-07,2016-01-20,False,취득,신규 취득,박대리
M201500704,2016-01-21,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500705,2016-01-07,2016-01-29,False,취득,신규 취득,박대리
M201500705,2016-01-30,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500711,2015-09-30,2099-12-31,True,취득,신규 취득,박대리
M201500746,2015-02-17,2015-03-07,False,취득,신규 취득,박대리
M201500746,2015-03-08,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500747,2015-02-17,2015-03-02,False,취득,신규 취득,박대리
M201500747,2015-03-03,2018-08-26,False,운용,신규운용 승인 및 사용 시작,박대리
M201500747,2018-08-27,2018-10-22,False,불용,수리비용과다,황팀장
M201500747,2018-10-23,2099-12-31,True,처분,폐기 완료,황팀장
M201500748,2015-02-17,2015-03-03,False,취득,신규 취득,박대리
M201500748,2015-03-04,2018-07-09,False,운용,신규운용 승인 및 사용 시작,박대리
M201500748,2018-07-10,2018-09-22,False,불용,고장/파손,황팀장
M201500748,2018-09-23,2099-12-31,True,처분,폐기 완료,황팀장
M201500749,2015-02-17,2015-03-08,False,취득,신규 취득,박대리
M201500749,2015-03-09,2018-05-04,False,운용,신규운용 승인 및 사용 시작,박대리
M201500749,2018-05-05,2018-07-14,False,불용,수리비용과다,황팀장
M201500749,2018-07-15,2099-12-31,True,처분,폐기 완료,황팀장
M201500750,2015-02-17,2015-03-07,False,취득,신규 취득,박대리
M201500750,2015-03-08,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500783,2015-05-25,2015-06-09,False,취득,신규 취득,박대리
M201500783,2015-06-10,2019-12-31,False,운용,신규운용 승인 및 사용 시작,박대리
M201500783,2020-01-01,2020-03-30,False,불용,고장/파손,황팀장
M201500783,2020-03-31,2099-12-31,True,처분,폐기 완료,황팀장
M201500784,2015-05-25,2015-06-04,False,취득,신규 취득,박대리
M201500784,2015-06-05,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500785,2015-05-25,2015-05-31,False,취득,신규 취득,박대리
M201500785,2015-06-01,2019-11-08,False,운용,신규운용 승인 및 사용 시작,박대리
M201500785,2019-11-09,2020-01-16,False,불용,노후화(성능저하),황팀장
M201500785,2020-01-17,2099-12-31,True,처분,폐기 완료,황팀장
M201500786,2015-05-25,2015-06-08,False,취득,신규 취득,박대리
M201500786,2015-06-09,2019-01-05,False,운용,신규운용 승인 및 사용 시작,박대리
M201500786,2019-01-06,2019-03-19,False,불용,수리비용과다,황팀장
M201500786,2019-03-20,2099-12-31,True,처분,폐기 완료,황팀장
M201500807,2015-08-15,2015-09-06,False,취득,신규 취득,박대리
M201500807,2015-09-07,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500808,2015-08-15,2099-12-31,True,취득,신규 취득,박대리
M201500809,2015-08-15,2015-08-28,False,취득,신규 취득,박대리
M201500809,2015-08-29,2020-04-27,False,운용,신규운용 승인 및 사용 시작,박대리
M201500809,2020-04-28,2020-06-22,False,불용,고장/파손,황팀장
M201500809,2020-06-23,2099-12-31,True,처분,폐기 완료,황팀장
M201500810,2015-08-15,2015-08-25,False,취득,신규 취득,박대리
M201500810,2015-08-26,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M201500811,2015-08-15,2015-08-28,False,취득,신규 취득,박대리
M201500811,2015-08-29,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
